"","gps1","gps1a","gps2","gps2a","gps3","gps3a","gpstrate","gpslat","gpslon","gpsalt","fingps"
"1",8,"BEKARAOKY                                         ",2,"IABOHAZO                                          ",2,"MAROVANDRIKA                                      ","PARCELLE I",-22.99813,47.67713,216,"O"
"2",10,"MAROVANDRIKA                                      ",2,"IABOHAZO                                          ",2,"MAROVANDRIKA                                      ","PARCELLE I",-22.98791,47.67614,200,"O"
"3",15,"ANAMBOTAKY                                        ",1,"ANKARANA MIRAY HINA                               ",1,"ANAMBOTAKY                                        ","FORET CLASSEE",-23.09222,47.69136,64,"O"
"4",17,"ANIVORANO                                         ",1,"ANKARANA MIRAY HINA                               ",1,"ANAMBOTAKY                                        ","FORET CLASSEE",-23.06758,47.67859,99,"O"
"5",18,"AMBOANGIBE                                        ",1,"ANKARANA MIRAY HINA                               ",1,"ANAMBOTAKY                                        ","FORET CLASSEE",-23.07546,47.68185,191,"O"
"6",20,"VOHIDROY                                          ",2,"IABOHAZO                                          ",2,"MAROVANDRIKA                                      ","FORET CLASSEE",-23.02609,47.68826,191,"O"
"7",25,"KARIMBELO                                         ",3,"MAHABO MAGNANIVO                                  ",1,"KARIMBELO                                         ","PARCELLE II/LITTORALE",-23.12717,47.7369,123,"O"
"8",31,"ANANGONGO                                         ",1,"ANKARANA MIRAY HINA                               ",2,"KARIMBELO                                         ","PARCELLE II/LITTORALE",-23.12817,47.74361,90,"O"
"9",32,"MARODIA                                           ",1,"ANKARANA MIRAY HINA                               ",2,"KARIMBELO                                         ","PARCELLE II/LITTORALE",-23.10466,47.72169,48,"O"
"10",35,"ANKAZOTSARARAVINA                                 ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE I",-23.05722,47.69748,226,"O"
"11",5,"ANTAVIBE                                          ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE I",-23.05226,47.75551,94,"O"
"12",9,"VOHILAVA                                          ",2,"IABOHAZO                                          ",2,"MAROVANDRIKA                                      ","PARCELLE I",-22.98621,47.684,205,"O"
"13",14,"SAHAMAHITSY                                       ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","FORET CLASSEE",-23.0213,47.42564,56,"O"
"14",16,"ANALAMELOKA                                       ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","FORET CLASSEE",-23.03706,47.43242,161,"O"
"15",23,"TAKOANDRA                                         ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE II/LITTORALE",-23.093524,47.7555,7,"O"
"16",24,"SILY                                              ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE II/LITTORALE",-23.0734,47.7396,155,"O"
"17",29,"ANKAZOBAKY                                        ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE II/LITTORALE",-23.08317,47.75018,113,"O"
"18",30,"ANTSERANAMPASY                                    ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE II/LITTORALE",-23.06814,47.75791,118,"O"
"19",33,"NAMOHORA                                          ",1,"ANKARANA MIRAY HINA                               ",5,"TAKOANDRA                                         ","PARCELLE II/LITTORALE",-23.0804,47.71995,85,"O"
"20",1,"AMBAHIPIKY                                        ",2,"IABOHAZO                                          ",1,"AMBAHIPIKY                                        ","PARCELLE I",-22.96817,47.71824,49,"O"
"21",2,"MAHERITRAKA                                       ",2,"IABOHAZO                                          ",1,"AMBAHIPIKY                                        ","PARCELLE I",-22.97077,47.71347,127,"O"
"22",3,"MAROPANAHY                                        ",4,"MANAMBOTRA SUD                                    ",1,"MAROMPANAHY                                       ","PARCELLE I",-22.97178,47.75272,173,"O"
"23",4,"MANOMBO                                           ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE I",-23.03005,47.7357,43,"O"
"24",6,"AMPAMOHAZA                                        ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE I",-23.00683,47.74935,189,"O"
"25",7,"ANDRAFIA                                          ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE I",-23.00284,47.46741,50,"O"
"26",19,"AMBATSARATOVA                                     ",1,"ANKARANA MIRAY HINA                               ",4,"MAROVANDRIKA                                      ","FORET CLASSEE",-23.01991,47.67197,190,"O"
"27",21,"MAROVARY                                          ",2,"IABOHAZO                                          ",3,"MAROVARY                                          ","FORET CLASSEE",-23.01727,47.64738,466,"O"
"28",26,"TSARATANANA                                       ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE II/LITTORALE",-23.02235,47.43242,115,"O"
"29",27,"MAHATSINJO                                        ",1,"ANKARANA MIRAY HINA                               ",3,"MANOMBO                                           ","PARCELLE II/LITTORALE",-23.01777,47.46,116,"O"
"30",36,"AMBODIRIA                                         ",1,"ANKARANA MIRAY HINA                               ",1,"ANAMBOTAKY                                        ","PARCELLE I",-23.06286,47.6945,185,"O"
