"","hh_village_code","hh_reserve_section","survey","Question","Value","topic"
"1",1,"PARCELLE I","Menage","numeric_house_hectare_owned",1.80555555555556,"Housing Characteristics"
"2",1,"PARCELLE I","Menage","numeric_house_pct_agr",68.1944444444444,"Housing Characteristics"
"3",1,"PARCELLE I","Menage","numeric_house_months_production_irrigated",5.86111111111111,"Housing Characteristics"
"4",1,"PARCELLE I","Menage","numeric_house_months_production_rainfed",4,"Housing Characteristics"
"5",1,"PARCELLE I","Menage","numeric_house_cows",0,"Housing Characteristics"
"6",1,"PARCELLE I","Menage","numeric_house_zebus",0,"Housing Characteristics"
"7",1,"PARCELLE I","Menage","numeric_house_goats",0,"Housing Characteristics"
"8",1,"PARCELLE I","Menage","numeric_house_sheep",0,"Housing Characteristics"
"9",1,"PARCELLE I","Menage","numeric_house_chickens",12.4594594594595,"Housing Characteristics"
"10",1,"PARCELLE I","Menage","numeric_house_pigs",0.189189189189189,"Housing Characteristics"
"11",1,"PARCELLE I","Menage","numeric_house_poultry",1.40540540540541,"Housing Characteristics"
"12",1,"PARCELLE I","Menage","numeric_house_other",0,"Housing Characteristics"
"13",1,"PARCELLE I","Menage","numeric_house_rooms",1.40540540540541,"Housing Characteristics"
"14",1,"PARCELLE I","Menage","numeric_house_total_income",644216.216216216,"Housing Characteristics"
"15",1,"PARCELLE I","Menage","numeric_water_duration",12.2432432432432,"Water and Sanitation"
"16",1,"PARCELLE I","Menage","numeric_mosq_net_number",1.83783783783784,"Possession and Use of Mosquito Nets"
"17",1,"PARCELLE I","Menage","numeric_food_months",1.81081081081081,"Food Security"
"18",1,"PARCELLE I","Menage","bool_house_owns_cellphone",8,"Housing Characteristics"
"19",1,"PARCELLE I","Menage","bool_house_owns_show",1,"Housing Characteristics"
"20",1,"PARCELLE I","Menage","bool_house_owns_bicycle",1,"Housing Characteristics"
"21",1,"PARCELLE I","Menage","bool_house_owns_motorcycle",0,"Housing Characteristics"
"22",1,"PARCELLE I","Menage","bool_house_owns_boat",0,"Housing Characteristics"
"23",1,"PARCELLE I","Menage","bool_house_owns_net",0,"Housing Characteristics"
"24",1,"PARCELLE I","Menage","bool_house_owns_animal",0,"Housing Characteristics"
"25",1,"PARCELLE I","Menage","bool_house_owns_truck",0,"Housing Characteristics"
"26",1,"PARCELLE I","Menage","bool_house_owns_motorboat",0,"Housing Characteristics"
"27",1,"PARCELLE I","Menage","bool_house_owns_plow",0,"Housing Characteristics"
"28",1,"PARCELLE I","Menage","bool_house_owns_sewingmachine",0,"Housing Characteristics"
"29",1,"PARCELLE I","Menage","bool_house_owns_tractor",0,"Housing Characteristics"
"30",1,"PARCELLE I","Menage","bool_house_has_electricity",4,"Housing Characteristics"
"31",1,"PARCELLE I","Menage","bool_house_owns_land",36,"Housing Characteristics"
"32",1,"PARCELLE I","Menage","bool_house_grows_irrigated_rice",36,"Housing Characteristics"
"33",1,"PARCELLE I","Menage","bool_house_grows_rainfed_rice",7,"Housing Characteristics"
"34",1,"PARCELLE I","Menage","bool_house_grows_cassava_rice",36,"Housing Characteristics"
"35",1,"PARCELLE I","Menage","bool_house_grows_potato_rice",22,"Housing Characteristics"
"36",1,"PARCELLE I","Menage","bool_house_grows_cashcrop",29,"Housing Characteristics"
"37",1,"PARCELLE I","Menage","bool_house_grows_other",30,"Housing Characteristics"
"38",1,"PARCELLE I","Menage","bool_house_grows_traditional_rice",0,"Housing Characteristics"
"39",1,"PARCELLE I","Menage","bool_house_grows_traditional_irrigated",0,"Housing Characteristics"
"40",1,"PARCELLE I","Menage","bool_house_grows_traditional_rainbed",0,"Housing Characteristics"
"41",1,"PARCELLE I","Menage","bool_house_slash",7,"Housing Characteristics"
"42",1,"PARCELLE I","Menage","bool_house_owns_shoes",26,"Housing Characteristics"
"43",1,"PARCELLE I","Menage","bool_house_owns_landline",1,"Housing Characteristics"
