,hh_village_code,hh_reserve_section,n,Question,Value,survey,topic
1,1,PARCELLE I,68,Do you have a mosquito net?,68,test,Mosquito Nets
2,1,PARCELLE I,68,Do you own a net to scare mosquitos?,68,test,Mosquito Nets
3,1,PARCELLE I,68,Do you own a net to fish?,0,test,Mosquito Nets
4,1,PARCELLE I,68,Do you own a net to catch poultry?,0,test,Mosquito Nets
5,1,PARCELLE I,68,Do you own a net for other reasons?,2,test,Mosquito Nets
6,1,PARCELLE I,68,Do you avoid mosquitos with other ways?,2,test,Mosquito Nets
7,1,PARCELLE I,68,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
8,1,PARCELLE I,68,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
9,1,PARCELLE I,68,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
10,1,PARCELLE I,68,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
11,1,PARCELLE I,68,Do you use a mosquito net when you sleep?,63,test,Mosquito Nets
12,1,PARCELLE I,68,How many mosquito nets do you have?,2.058823529,test,Mosquito Nets
13,1,PARCELLE I,68,People who have not responded to where they got their nets,65,test,Mosquito Nets
14,1,PARCELLE I,68,People who got their nets from a street/shop/market,3,test,Mosquito Nets
15,1,PARCELLE I,68,People who got their net from a community officer,NA,test,Mosquito Nets
16,1,PARCELLE I,68,People who dont know where they got their nets,NA,test,Mosquito Nets
17,1,PARCELLE I,68,People who got their net from a public health center,NA,test,Mosquito Nets
18,1,PARCELLE I,68,People who got their net from other places,NA,test,Mosquito Nets
19,1,PARCELLE I,68,People who got their net from a private health center,NA,test,Mosquito Nets
20,1,PARCELLE I,68,People who got their net through an MID campaign,65,test,Mosquito Nets
21,1,PARCELLE I,68,People who did not get a net,3,test,Mosquito Nets
22,1,PARCELLE I,68,People who got a net through CPN,NA,test,Mosquito Nets
23,1,PARCELLE I,68,People who got a net through a vaccination visit,NA,test,Mosquito Nets
24,1,PARCELLE I,68,People who dont know where they got their net,NA,test,Mosquito Nets
25,1,PARCELLE I,68,People who use Permanet brand,59,test,Mosquito Nets
26,1,PARCELLE I,68,People who use other brands,NA,test,Mosquito Nets
27,1,PARCELLE I,68,People who use Yorkool,4,test,Mosquito Nets
28,1,PARCELLE I,68,People who use Super Moustiquaire,5,test,Mosquito Nets
